受试编号,组别,观看顺序,设计代号,内容类型,问答1得分,问答2得分,答对题数,正确率,获取信息效率_Q1,获取信息效率_Q2,获取信息效率_均值,可读性_Q1,可读性_Q2,可读性_均值,吸引力_Q1,吸引力_Q2,吸引力_均值,主观_综合评价,主观_总分,主观_总分均值,总注视时长_标题层,总注视时长_要点层,总注视时长_详情层,总注视时长_关键图片,注视次数_标题层,注视次数_要点层,注视次数_详情层,注视次数_关键图片,注视时长占比_标题层,注视时长占比_要点层,注视时长占比_详情层,注视时长占比_关键图片,首次注视时间_标题层,首次注视时间_要点层,首次注视时间_详情层,首次注视时间_关键图片,平均注视时长_标题层,平均注视时长_要点层,平均注视时长_详情层,平均注视时长_关键图片,平均瞳孔直径_mm,最小瞳孔直径_mm,最大瞳孔直径_mm,眨眼次数,平均眨眼频率_per_s,扫视次数,平均扫视频率_per_s,总扫视时间_s,平均眼跳水平距离_px,平均眼跳垂直距离_px,平均眼跳绝对距离_px
SIM036,组2,3,B,造山运动,0,0,0,0.0,3,3,3.0,1,3,2.0,3,1,2.0,2,16,2.29,4.84,0.884,1.32,4.254,16,3,5,19,29.63285,5.41228,8.08169,26.04507,3.75,11.19,12.203,5.003,0.3025,0.2947,0.264,0.2239,2.4591,2.0426,3.2049,26,0.4333,137,2.2833,18.55,108.375,172.58,203.787
SIM036,组2,4,G,红果仔,0,5,1,0.5,4,3,3.5,2,2,2.0,2,3,2.5,3,19,2.71,3.004,5.126,2.852,2.893,10,24,15,15,11.30392,19.28891,10.73195,10.88623,11.709,5.986,11.513,0.623,0.3004,0.2136,0.1901,0.1929,2.7134,2.2082,3.0971,17,0.2833,200,3.3333,19.37,219.132,101.837,241.639
SIM037,组2,1,B,造山运动,5,5,2,1.0,5,2,3.5,4,5,4.5,4,1,2.5,5,26,3.71,2.663,4.277,6.032,3.408,15,16,22,17,11.14054,17.89263,25.23459,14.25721,7.085,3.144,6.441,3.079,0.1775,0.2673,0.2742,0.2005,2.2359,1.6995,2.6067,2,0.0333,131,2.1833,11.636,203.979,131.212,242.537
SIM037,组2,2,G,红果仔,5,0,1,0.5,5,3,4.0,4,5,4.5,5,4,4.5,3,29,4.14,2.781,2.002,1.013,3.891,14,9,5,13,24.122,17.36506,8.78662,33.74998,2.567,8.187,7.348,8.938,0.1986,0.2224,0.2026,0.2993,3.0733,2.6127,3.6886,24,0.4,167,2.7833,17.278,117.696,84.978,145.168
SIM037,组2,3,E,红耳鹎,0,0,0,0.0,3,3,3.0,4,4,4.0,3,4,3.5,4,25,3.57,2.875,6.814,4.285,3.351,13,23,16,14,13.89995,32.94409,20.71697,16.2013,7.691,8.933,5.753,8.394,0.2212,0.2963,0.2678,0.2394,2.077,1.735,2.7611,18,0.3,223,3.7167,20.235,148.551,167.35,223.771
SIM037,组2,4,Z,白鹈鹕(锚点),0,5,1,0.5,3,4,3.5,3,3,3.0,4,4,4.0,3,24,3.43,6.383,6.459,2.998,6.331,21,21,13,23,25.17011,25.4698,11.82202,24.96506,10.244,4.183,5.542,3.215,0.304,0.3076,0.2306,0.2753,2.6027,2.0283,3.0705,21,0.35,230,3.8333,20.87,116.403,117.369,165.303
SIM038,组2,1,Z,白鹈鹕(锚点),5,5,2,1.0,2,4,3.0,2,3,2.5,4,3,3.5,3,21,3.0,0.972,7.048,1.119,4.473,3,22,6,21,5.16944,37.48375,5.95124,23.78899,9.506,9.794,4.612,3.549,0.324,0.3204,0.1865,0.213,2.3646,1.9477,3.1821,22,0.3667,206,3.4333,24.32,197.478,69.924,209.492
SIM038,组2,2,G,红果仔,5,5,2,1.0,4,3,3.5,3,4,3.5,3,4,3.5,5,26,3.71,2.603,2.753,7.005,5.84,11,11,22,20,10.90874,11.53737,29.3568,24.47448,4.348,7.711,7.368,7.387,0.2366,0.2503,0.3184,0.292,2.6946,2.1831,3.4333,24,0.4,137,2.2833,15.241,121.857,186.711,222.957
SIM038,组2,3,B,造山运动,5,5,2,1.0,1,3,2.0,4,4,4.0,3,1,2.0,2,18,2.57,4.546,4.333,4.734,3.977,15,19,17,18,20.08404,19.14301,20.91461,17.57022,8.189,1.448,3.095,7.06,0.3031,0.2281,0.2785,0.2209,2.6741,2.0861,3.2323,1,0.0167,281,4.6833,19.585,244.618,77.47,256.592
SIM038,组2,4,E,红耳鹎,0,0,0,0.0,4,2,3.0,2,4,3.0,2,3,2.5,3,20,2.86,4.445,5.082,5.375,1.15,15,16,19,6,13.77975,15.75448,16.6628,3.56506,8.254,5.974,2.231,6.876,0.2963,0.3176,0.2829,0.1917,2.6816,2.1501,3.4729,11,0.1833,282,4.7,16.443,184.53,183.553,260.275
SIM039,组2,1,E,红耳鹎,0,0,0,0.0,5,4,4.5,4,3,3.5,3,4,3.5,5,28,4.0,0.876,4.979,3.097,5.122,4,16,12,18,5.35236,30.42168,18.92267,31.29541,5.316,7.312,7.435,5.509,0.219,0.3112,0.2581,0.2846,3.0421,2.5147,3.6862,23,0.3833,134,2.2333,11.962,241.474,167.389,293.818
SIM039,组2,2,Z,白鹈鹕(锚点),0,5,1,0.5,2,4,3.0,2,3,2.5,2,3,2.5,5,21,3.0,3.67,3.252,0.909,2.213,19,10,5,7,21.69892,19.22749,5.37447,13.08439,11.214,10.188,1.636,1.348,0.1932,0.3252,0.1818,0.3161,2.2981,1.7443,2.9416,27,0.45,250,4.1667,16.004,93.142,136.94,165.614
SIM039,组2,3,G,红果仔,5,0,1,0.5,2,3,2.5,3,5,4.0,4,3,3.5,4,24,3.43,1.333,2.34,0.597,6.697,5,8,3,23,11.41827,20.04408,5.11381,57.36548,1.944,8.696,11.921,9.836,0.2666,0.2925,0.199,0.2912,2.4836,2.1781,3.1392,14,0.2333,136,2.2667,16.365,198.934,129.915,237.598
SIM039,组2,4,B,造山运动,0,5,1,0.5,3,3,3.0,5,4,4.5,4,3,3.5,4,26,3.71,5.749,1.465,3.46,0.525,20,5,18,3,39.66402,10.10746,23.87154,3.62213,12.701,8.023,6.763,0.104,0.2874,0.293,0.1922,0.175,2.6863,2.2921,3.1344,1,0.0167,114,1.9,10.617,244.269,161.039,292.576
SIM040,组2,1,E,红耳鹎,5,5,2,1.0,3,3,3.0,4,3,3.5,3,4,3.5,5,25,3.57,6.278,5.957,1.821,2.674,20,19,9,11,21.86762,20.7495,6.34293,9.31411,7.644,11.312,6.633,7.334,0.3139,0.3135,0.2023,0.2431,2.1895,1.8235,2.5709,9,0.15,272,4.5333,25.143,143.052,81.61,164.694
SIM040,组2,2,Z,白鹈鹕(锚点),5,0,1,0.5,3,2,2.5,4,2,3.0,4,3,3.5,2,20,2.86,1.776,2.279,4.131,2.057,8,7,20,12,12.74365,16.35291,29.6419,14.75996,3.239,1.773,10.25,8.899,0.222,0.3256,0.2066,0.1714,2.8173,2.4131,3.2692,3,0.05,298,4.9667,13.404,138.651,95.393,168.297
SIM040,组2,3,B,造山运动,0,0,0,0.0,4,5,4.5,4,2,3.0,4,3,3.5,3,25,3.57,1.106,0.512,0.917,1.875,5,3,3,6,15.05297,6.96846,12.48063,25.51928,10.258,11.458,1.433,11.021,0.2212,0.1707,0.3057,0.3125,2.7243,2.3273,3.2487,16,0.2667,98,1.6333,13.781,208.777,114.407,238.068
SIM040,组2,4,G,红果仔,0,5,1,0.5,4,1,2.5,4,3,3.5,3,4,3.5,2,21,3.0,1.444,0.782,4.527,6.3,6,4,24,24,8.07345,4.37219,25.3106,35.2235,2.292,1.507,2.576,1.713,0.2407,0.1955,0.1886,0.2625,2.269,1.7053,2.9018,12,0.2,223,3.7167,9.841,239.38,74.245,250.63
SIM041,组2,1,G,红果仔,0,5,1,0.5,3,4,3.5,3,4,3.5,4,5,4.5,2,25,3.57,1.44,1.134,5.546,0.661,6,4,19,3,9.07251,7.14461,34.94178,4.16454,11.617,12.957,11.969,10.399,0.24,0.2835,0.2919,0.2203,2.0826,1.5108,2.8114,24,0.4,274,4.5667,22.183,128.703,113.175,171.386
SIM041,组2,2,E,红耳鹎,5,5,2,1.0,1,3,2.0,4,2,3.0,3,3,3.0,5,21,3.0,4.62,1.373,2.239,2.488,14,7,7,13,28.06645,8.34096,13.6019,15.11457,0.616,4.375,5.228,9.081,0.33,0.1961,0.3199,0.1914,2.7467,2.3067,3.2334,11,0.1833,157,2.6167,19.914,112.4,71.416,133.169
SIM041,组2,3,Z,白鹈鹕(锚点),0,5,1,0.5,4,3,3.5,5,3,4.0,3,3,3.0,3,24,3.43,5.925,6.336,2.485,5.175,19,24,14,23,21.20005,22.67064,8.8915,18.5165,0.46,11.755,3.433,5.997,0.3118,0.264,0.1775,0.225,2.6848,2.4019,3.0088,29,0.4833,153,2.55,9.459,127.646,128.098,180.838
SIM041,组2,4,B,造山运动,0,5,1,0.5,3,5,4.0,4,3,3.5,5,4,4.5,4,28,4.0,2.363,7.136,2.447,2.171,10,23,9,7,11.48088,34.67098,11.889,10.54803,11.631,9.636,2.185,0.407,0.2363,0.3103,0.2719,0.3101,2.6304,2.3523,3.1996,2,0.0333,164,2.7333,27.681,147.455,74.497,165.205
SIM042,组3,1,D,红耳鹎,5,5,2,1.0,4,4,4.0,4,4,4.0,3,4,3.5,5,28,4.0,4.983,3.272,3.799,1.079,16,13,14,4,34.82913,22.86994,26.55346,7.54177,10.823,5.29,0.588,3.276,0.3114,0.2517,0.2714,0.2697,2.4024,1.8705,3.1628,34,0.5667,142,2.3667,11.175,208.569,80.088,223.417
SIM042,组3,2,Z,白鹈鹕(锚点),5,0,1,0.5,3,4,3.5,4,3,3.5,5,4,4.5,4,27,3.86,5.674,3.214,1.314,4.388,21,16,7,21,19.38104,10.97826,4.48831,14.98837,11.177,3.025,8.987,9.02,0.2702,0.2009,0.1877,0.209,2.5333,2.1448,3.2501,31,0.5167,173,2.8833,16.719,187.23,67.335,198.97
SIM042,组3,3,A,造山运动,5,0,1,0.5,4,5,4.5,5,2,3.5,3,5,4.0,2,26,3.71,2.643,2.124,5.129,1.366,13,12,23,5,18.35958,14.75435,35.62857,9.48891,1.316,6.307,12.467,5.107,0.2033,0.177,0.223,0.2732,2.1862,1.5936,2.7674,23,0.3833,279,4.65,16.848,225.029,112.049,251.382
SIM042,组3,4,H,红果仔,5,0,1,0.5,3,3,3.0,3,5,4.0,5,5,5.0,4,28,4.0,1.009,2.784,2.076,1.481,5,12,12,8,8.13023,22.43268,16.72781,11.93347,7.667,12.932,12.594,2.602,0.2018,0.232,0.173,0.1851,2.9302,2.4629,3.5322,33,0.55,271,4.5167,22.978,90.779,134.264,162.073
SIM043,组3,1,H,红果仔,0,0,0,0.0,5,3,4.0,5,4,4.5,4,4,4.0,4,29,4.14,2.567,3.081,0.792,5.061,14,18,3,19,15.95773,19.15301,4.92346,31.46166,4.463,7.795,8.516,0.22,0.1834,0.1712,0.264,0.2664,2.2527,1.7277,2.8459,32,0.5333,181,3.0167,26.635,194.21,116.225,226.331
SIM043,组3,2,D,红耳鹎,5,5,2,1.0,3,3,3.0,5,3,4.0,5,2,3.5,5,26,3.71,3.427,1.435,2.218,4.055,20,5,12,18,28.51789,11.9414,18.45716,33.74381,9.775,8.908,9.969,12.844,0.1714,0.287,0.1848,0.2253,2.398,1.9496,3.2247,0,0.0,177,2.95,23.378,108.923,79.705,134.971
SIM043,组3,3,A,造山运动,5,5,2,1.0,4,4,4.0,3,3,3.0,3,3,3.0,4,24,3.43,3.378,3.673,3.617,1.205,15,13,16,5,16.47919,17.91832,17.64513,5.87846,5.902,9.803,11.066,7.88,0.2252,0.2825,0.2261,0.241,2.3788,2.0439,2.9772,8,0.1333,169,2.8167,9.925,129.429,164.577,209.375
SIM043,组3,4,Z,白鹈鹕(锚点),0,5,1,0.5,5,4,4.5,4,2,3.0,3,5,4.0,4,27,3.86,2.436,5.217,1.52,2.846,11,19,6,12,12.82349,27.4631,8.00152,14.98179,2.225,10.417,3.879,11.692,0.2215,0.2746,0.2533,0.2372,2.8193,2.2549,3.1282,26,0.4333,132,2.2,17.42,158.35,109.876,192.737
SIM044,组3,1,D,红耳鹎,5,0,1,0.5,4,1,2.5,4,1,2.5,4,3,3.5,3,20,2.86,0.739,5.934,2.568,2.734,3,21,13,15,5.10172,40.96562,17.72829,18.87428,9.344,5.039,4.825,1.001,0.2463,0.2826,0.1975,0.1823,2.5104,2.201,3.1139,16,0.2667,133,2.2167,16.384,151.961,148.439,212.429
SIM044,组3,2,H,红果仔,0,0,0,0.0,5,3,4.0,5,5,5.0,3,3,3.0,5,29,4.14,4.145,1.767,5.346,3.199,23,6,19,14,14.75578,6.29034,19.03122,11.38812,3.517,10.024,5.62,1.644,0.1802,0.2945,0.2814,0.2285,2.7963,2.2563,3.154,28,0.4667,203,3.3833,13.93,116.929,80.998,142.244
SIM044,组3,3,A,造山运动,5,0,1,0.5,1,2,1.5,4,3,3.5,5,4,4.5,3,22,3.14,0.924,2.967,4.669,2.579,4,15,15,15,6.04534,19.41184,30.54731,16.87332,5.095,10.027,1.913,3.522,0.231,0.1978,0.3113,0.1719,2.973,2.4053,3.782,10,0.1667,258,4.3,20.7,231.951,92.312,249.645
SIM044,组3,4,Z,白鹈鹕(锚点),0,5,1,0.5,3,2,2.5,1,4,2.5,4,4,4.0,3,21,3.0,2.237,2.941,3.047,0.652,10,10,12,3,17.43209,22.9181,23.74411,5.08079,4.411,9.535,0.173,2.787,0.2237,0.2941,0.2539,0.2173,2.5723,2.3026,3.4131,24,0.4,256,4.2667,17.362,136.271,175.041,221.831
SIM045,组3,1,Z,白鹈鹕(锚点),5,0,1,0.5,4,3,3.5,5,3,4.0,4,5,4.5,4,28,4.0,1.07,1.833,6.604,6.917,4,6,21,22,4.86475,8.33373,30.02507,31.44812,11.076,12.458,12.692,6.399,0.2675,0.3055,0.3145,0.3144,2.7451,2.3771,3.2941,32,0.5333,236,3.9333,17.522,101.984,174.665,202.259
SIM045,组3,2,H,红果仔,0,5,1,0.5,5,3,4.0,3,3,3.0,4,3,3.5,5,26,3.71,3.696,1.091,6.985,4.157,12,5,22,24,18.99425,5.6068,35.89686,21.36339,9.771,9.572,6.747,5.357,0.308,0.2182,0.3175,0.1732,2.1909,1.7652,2.5486,31,0.5167,185,3.0833,26.595,235.177,71.203,245.719
SIM045,组3,3,A,造山运动,5,5,2,1.0,5,3,4.0,3,3,3.0,3,4,3.5,5,26,3.71,2.053,1.938,5.639,1.931,8,11,22,11,16.4856,15.56215,45.28121,15.50594,5.168,6.3,7.663,6.01,0.2566,0.1762,0.2563,0.1755,2.2089,1.7557,2.8267,5,0.0833,112,1.8667,21.621,181.204,114.06,214.113
SIM045,组3,4,D,红耳鹎,0,0,0,0.0,4,5,4.5,3,3,3.0,3,3,3.0,5,26,3.71,2.918,2.277,3.073,6.411,10,10,16,21,17.92861,13.99021,18.88095,39.3901,9.981,7.211,0.292,1.839,0.2918,0.2277,0.1921,0.3053,2.3686,2.0958,3.0039,21,0.35,137,2.2833,21.223,105.406,176.216,205.335
SIM046,组3,1,D,红耳鹎,0,0,0,0.0,4,3,3.5,5,4,4.5,4,5,4.5,4,29,4.14,2.766,4.854,2.629,0.955,11,15,8,3,18.09432,31.75338,17.19811,6.24732,4.821,0.544,0.744,3.988,0.2515,0.3236,0.3286,0.3183,2.781,2.2208,3.3868,6,0.1,127,2.1167,23.225,206.091,107.118,232.266
SIM046,组3,2,H,红果仔,5,0,1,0.5,3,5,4.0,4,3,3.5,3,4,3.5,3,25,3.57,1.854,3.701,3.049,7.443,9,15,16,24,10.84629,21.65163,17.83729,43.54311,11.718,8.744,10.808,1.548,0.206,0.2467,0.1906,0.3101,2.4671,2.1784,2.7683,23,0.3833,252,4.2,25.209,176.512,102.403,204.066
SIM046,组3,3,A,造山运动,5,0,1,0.5,4,3,3.5,5,2,3.5,4,2,3.0,2,22,3.14,3.351,3.701,2.629,5.971,14,16,10,20,12.02597,13.28204,9.43488,21.42855,5.192,3.697,0.904,11.788,0.2394,0.2313,0.2629,0.2985,2.0918,1.6672,2.7348,14,0.2333,271,4.5167,13.374,112.327,112.206,158.768
SIM046,组3,4,Z,白鹈鹕(锚点),5,5,2,1.0,2,3,2.5,2,5,3.5,5,4,4.5,4,25,3.57,2.42,3.532,2.588,3.499,10,13,13,18,15.32583,22.36811,16.38977,22.15912,9.219,11.209,4.163,6.353,0.242,0.2717,0.1991,0.1944,2.622,2.1351,3.0368,15,0.25,98,1.6333,9.455,179.618,115.916,213.774
SIM047,组3,1,D,红耳鹎,0,5,1,0.5,2,3,2.5,3,2,2.5,2,4,3.0,3,19,2.71,3.499,7.531,3.028,4.222,13,24,15,14,9.65252,20.77539,8.35319,11.64702,3.755,11.299,1.208,7.703,0.2692,0.3138,0.2019,0.3016,2.3149,1.8902,2.9557,18,0.3,184,3.0667,17.88,213.785,81.868,228.925
SIM047,组3,2,A,造山运动,0,5,1,0.5,4,2,3.0,5,4,4.5,3,4,3.5,4,26,3.71,0.849,4.156,1.863,3.608,4,24,7,20,3.90933,19.13686,8.57843,16.61352,12.147,6.525,9.395,5.932,0.2122,0.1732,0.2661,0.1804,2.7067,2.2268,3.0905,0,0.0,165,2.75,19.136,100.203,136.112,169.018
SIM047,组3,3,Z,白鹈鹕(锚点),0,0,0,0.0,4,5,4.5,2,3,2.5,3,4,3.5,3,24,3.43,5.628,4.102,1.257,6.0,24,20,5,24,28.41144,20.70784,6.34563,30.28939,10.223,4.286,8.336,10.502,0.2345,0.2051,0.2514,0.25,2.552,2.2328,3.0213,26,0.4333,177,2.95,23.752,108.464,97.199,145.644
SIM047,组3,4,H,红果仔,0,5,1,0.5,2,5,3.5,4,5,4.5,3,4,3.5,2,25,3.57,4.89,6.519,1.76,3.338,15,24,9,14,22.58627,30.1104,8.12921,15.41778,1.94,5.984,10.392,1.657,0.326,0.2716,0.1956,0.2384,2.676,2.1325,3.3578,18,0.3,200,3.3333,12.782,140.769,97.765,171.389
SIM048,组3,1,A,造山运动,5,5,2,1.0,3,4,3.5,2,2,2.0,3,3,3.0,4,21,3.0,7.567,1.618,4.813,3.877,23,6,17,21,32.05036,6.85311,20.38567,16.42121,6.828,11.267,8.504,4.645,0.329,0.2697,0.2831,0.1846,2.0973,1.7066,2.4929,8,0.1333,144,2.4,24.402,233.144,136.022,269.922
SIM048,组3,2,H,红果仔,0,5,1,0.5,5,4,4.5,4,2,3.0,3,4,3.5,4,26,3.71,4.494,4.722,2.901,7.204,22,17,14,23,12.30981,12.93434,7.94632,19.73294,9.502,10.258,9.547,4.711,0.2043,0.2778,0.2072,0.3132,2.6353,2.3098,3.4581,27,0.45,113,1.8833,19.263,208.47,157.332,261.176
SIM048,组3,3,Z,白鹈鹕(锚点),5,0,1,0.5,4,3,3.5,5,5,5.0,3,3,3.0,3,26,3.71,5.202,4.554,3.642,1.25,24,16,17,5,21.58794,18.89879,15.11405,5.18741,0.82,4.164,4.735,11.336,0.2167,0.2846,0.2142,0.25,2.3148,1.9886,3.0527,32,0.5333,100,1.6667,12.839,232.907,118.843,261.475
SIM048,组3,4,D,红耳鹎,0,0,0,0.0,4,3,3.5,3,5,4.0,5,1,3.0,4,25,3.57,4.193,1.7,1.381,2.279,19,7,5,10,29.09861,11.79767,9.58387,15.81582,12.255,5.534,6.238,12.842,0.2207,0.2429,0.2762,0.2279,2.7284,2.1393,3.228,28,0.4667,211,3.5167,9.066,119.341,80.112,143.737
SIM049,组3,1,A,造山运动,5,0,1,0.5,2,2,2.0,3,4,3.5,2,5,3.5,2,20,2.86,1.059,2.514,5.22,1.885,5,12,20,8,8.53284,20.25643,42.05988,15.18829,9.483,1.407,7.397,3.326,0.2118,0.2095,0.261,0.2356,2.8359,2.4324,3.253,24,0.4,193,3.2167,27.626,117.505,100.329,154.51
SIM049,组3,2,D,红耳鹎,5,0,1,0.5,2,5,3.5,2,3,2.5,2,3,2.5,3,20,2.86,3.743,1.786,3.154,3.444,16,10,13,20,24.92929,11.8952,21.00641,22.93788,2.463,9.673,4.949,4.685,0.2339,0.1786,0.2426,0.1722,2.7917,2.4559,3.3975,9,0.15,207,3.45,19.786,238.52,66.739,247.681
SIM049,组3,3,Z,白鹈鹕(锚点),5,0,1,0.5,3,3,3.0,4,3,3.5,3,3,3.0,2,21,3.0,2.793,1.341,3.795,7.354,14,7,18,24,13.25322,6.36326,18.00787,34.89588,0.498,9.744,1.393,7.526,0.1995,0.1916,0.2108,0.3064,2.8852,2.4976,3.4795,23,0.3833,138,2.3,24.31,103.113,129.348,165.418
SIM049,组3,4,H,红果仔,5,5,2,1.0,3,2,2.5,4,3,3.5,4,2,3.0,2,20,2.86,6.396,3.103,3.994,4.699,23,12,20,17,17.23735,8.36265,10.76391,12.6639,8.924,9.784,12.852,4.597,0.2781,0.2586,0.1997,0.2764,2.4721,1.8864,3.3132,32,0.5333,289,4.8167,24.535,133.026,85.3,158.025
SIM050,组3,1,A,造山运动,5,5,2,1.0,3,3,3.0,2,4,3.0,3,3,3.0,4,22,3.14,5.772,1.266,3.863,4.563,21,4,13,19,20.97626,4.60082,14.03869,16.58259,3.519,9.249,1.285,2.522,0.2749,0.3165,0.2972,0.2402,2.4922,2.1253,2.9987,0,0.0,240,4.0,21.748,239.421,75.513,251.047
SIM050,组3,2,H,红果仔,5,5,2,1.0,5,3,4.0,5,3,4.0,4,5,4.5,4,29,4.14,2.668,4.048,2.475,0.758,10,15,14,4,23.27741,35.31745,21.59355,6.6133,4.452,0.217,4.738,12.656,0.2668,0.2699,0.1768,0.1895,3.0682,2.648,3.7448,27,0.45,241,4.0167,11.804,115.555,95.94,150.191
SIM050,组3,3,Z,白鹈鹕(锚点),5,5,2,1.0,3,5,4.0,5,5,5.0,4,4,4.0,4,30,4.29,3.755,4.696,4.922,2.075,14,15,17,7,13.40216,16.76073,17.56735,7.40599,4.407,4.338,4.023,1.514,0.2682,0.3131,0.2895,0.2964,2.656,2.3021,3.1679,27,0.45,278,4.6333,19.452,153.726,186.042,241.337
SIM050,组3,4,D,红耳鹎,0,0,0,0.0,3,5,4.0,2,5,3.5,4,5,4.5,2,26,3.71,2.521,1.763,2.428,3.517,8,7,13,12,12.31794,8.61425,11.86353,17.18453,7.905,9.135,4.336,11.333,0.3151,0.2519,0.1868,0.2931,2.8305,2.4682,3.4187,34,0.5667,166,2.7667,24.891,185.432,108.991,215.091
SIM051,组3,1,D,红耳鹎,0,5,1,0.5,5,2,3.5,5,5,5.0,4,4,4.0,5,30,4.29,6.311,6.128,5.284,0.676,23,19,24,3,20.22054,19.6342,16.93001,2.16591,11.051,11.961,10.072,8.486,0.2744,0.3225,0.2202,0.2253,2.6585,2.2818,3.4719,10,0.1667,247,4.1167,23.024,105.361,88.385,137.524
SIM051,组3,2,H,红果仔,5,5,2,1.0,4,4,4.0,4,3,3.5,4,4,4.0,4,27,3.86,5.91,2.372,1.949,2.65,18,11,6,10,40.60806,16.29819,13.39173,18.20835,2.375,11.174,9.37,12.741,0.3283,0.2156,0.3248,0.265,2.2556,1.8125,2.6508,20,0.3333,105,1.75,22.096,221.41,119.494,251.598
SIM051,组3,3,Z,白鹈鹕(锚点),5,5,2,1.0,4,5,4.5,4,4,4.0,5,3,4.0,5,30,4.29,3.39,2.592,1.333,4.631,18,13,5,16,23.39392,17.88703,9.19885,31.95789,7.814,9.764,12.018,8.438,0.1883,0.1994,0.2666,0.2894,2.8245,2.5224,3.2167,9,0.15,134,2.2333,24.572,217.232,141.575,259.294
SIM051,组3,4,A,造山运动,5,5,2,1.0,3,5,4.0,3,3,3.0,3,4,3.5,4,25,3.57,0.598,3.481,5.197,3.236,3,20,19,11,2.63312,15.32759,22.88351,14.2488,5.701,0.944,10.847,9.449,0.1993,0.174,0.2735,0.2942,2.5416,2.2726,3.2414,7,0.1167,179,2.9833,22.741,138.151,103.828,172.818
SIM052,组3,1,A,造山运动,5,0,1,0.5,4,2,3.0,4,5,4.5,3,5,4.0,5,28,4.0,2.412,4.256,3.153,2.351,8,21,11,10,18.55756,32.74502,24.2587,18.08824,9.411,3.468,4.759,11.819,0.3015,0.2027,0.2866,0.2351,2.8356,2.5403,3.2333,15,0.25,116,1.9333,12.431,195.023,146.872,244.142
SIM052,组3,2,Z,白鹈鹕(锚点),5,5,2,1.0,4,3,3.5,3,4,3.5,4,3,3.5,3,24,3.43,4.651,4.344,1.695,7.151,15,22,8,23,23.26706,21.73127,8.4794,35.77355,5.104,1.241,0.619,3.295,0.3101,0.1975,0.2119,0.3109,2.4243,2.1091,3.1656,4,0.0667,269,4.4833,18.81,102.315,185.114,211.508
SIM052,组3,3,H,红果仔,5,5,2,1.0,3,4,3.5,4,3,3.5,4,5,4.5,2,25,3.57,4.751,2.928,1.542,2.955,24,11,9,10,35.9918,22.18143,11.68162,22.38597,9.203,8.672,5.101,7.437,0.198,0.2662,0.1713,0.2955,2.5202,2.1022,2.9874,6,0.1,147,2.45,11.415,237.225,138.941,274.918
SIM052,组3,4,D,红耳鹎,0,5,1,0.5,4,4,4.0,3,4,3.5,5,4,4.5,3,27,3.86,0.917,1.193,6.998,2.92,5,5,23,10,4.8223,6.27372,36.80094,15.35564,9.666,7.853,6.957,3.806,0.1834,0.2386,0.3043,0.292,2.24,1.9784,2.7736,27,0.45,167,2.7833,17.51,124.445,161.483,203.871
SIM053,组3,1,A,造山运动,5,5,2,1.0,3,5,4.0,4,5,4.5,5,3,4.0,4,29,4.14,1.376,2.185,3.434,4.837,7,8,11,22,8.44269,13.40645,21.06991,29.67826,11.328,9.591,0.455,0.495,0.1966,0.2731,0.3122,0.2199,2.7074,2.3553,3.4881,7,0.1167,195,3.25,8.552,164.555,116.112,201.395
SIM053,组3,2,H,红果仔,0,0,0,0.0,4,4,4.0,5,5,5.0,4,5,4.5,5,32,4.57,2.583,2.889,2.616,5.662,10,16,14,24,10.09642,11.29251,10.22541,22.1316,8.999,6.076,9.685,1.738,0.2583,0.1806,0.1869,0.2359,2.6494,2.1127,3.1674,5,0.0833,247,4.1167,23.411,148.973,142.468,206.131
SIM053,组3,3,Z,白鹈鹕(锚点),5,5,2,1.0,5,3,4.0,3,5,4.0,4,5,4.5,5,30,4.29,2.407,4.353,0.612,5.219,10,15,3,19,17.38637,31.44282,4.42063,37.69816,4.154,8.363,12.22,7.554,0.2407,0.2902,0.204,0.2747,2.6642,2.1317,3.4015,12,0.2,264,4.4,25.35,134.96,115.052,177.345
SIM053,组3,4,D,红耳鹎,0,0,0,0.0,4,3,3.5,5,3,4.0,3,4,3.5,4,26,3.71,0.989,5.728,5.123,0.746,5,23,20,4,6.86118,39.73797,35.54079,5.17537,10.997,4.94,4.126,2.632,0.1978,0.249,0.2561,0.1865,2.7162,2.1923,3.365,7,0.1167,243,4.05,19.594,202.438,189.576,277.344
SIM054,组3,1,H,红果仔,5,0,1,0.5,2,3,2.5,2,5,3.5,4,4,4.0,3,23,3.29,4.413,1.383,3.042,6.23,24,6,10,21,15.03208,4.71094,10.36202,21.22136,5.551,9.12,10.835,7.491,0.1839,0.2305,0.3042,0.2967,2.5557,2.0911,3.1754,1,0.0167,289,4.8167,24.552,115.944,92.128,148.09
SIM054,组3,2,Z,白鹈鹕(锚点),0,0,0,0.0,4,5,4.5,4,4,4.0,4,5,4.5,4,30,4.29,2.439,1.764,0.864,3.425,9,7,5,13,16.51054,11.9412,5.84875,23.18516,8.913,10.163,0.156,1.365,0.271,0.252,0.1728,0.2635,2.8472,2.4411,3.4169,31,0.5167,129,2.15,12.22,131.425,121.071,178.692
SIM054,组3,3,A,造山运动,5,5,2,1.0,5,4,4.5,3,5,4.0,3,5,4.0,4,29,4.14,4.62,4.566,4.993,3.828,18,14,21,19,20.781,20.53811,22.45878,17.21855,12.553,11.686,8.376,10.232,0.2567,0.3261,0.2378,0.2015,2.5993,2.0527,3.2857,24,0.4,109,1.8167,9.173,153.315,143.985,210.326
